Special_Weapon,Special_Img,Special_Points,Tenacity,Stealth Jump,Ninja Squid,Haunt,Last-Ditch Effort,Respawn Punisher,Opening Gambit,Object Shredder,Comeback,Drop Roller,Thermal Ink,Run Speed Up,Ink Resistance Up,Special Power Up,Ink Saver (Main),Sub Resistance Up,Quick Respawn,Special Charge Up,Ink Saver (Sub),Ink Recovery Up,Sub Power Up,Quick Super Jump,Swim Speed Up,Special Saver,Intensify Action,Build_Count
Big Bubbler,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/e/ef/S3_Weapon_Special_Big_Bubbler.png/120px-S3_Weapon_Special_Big_Bubbler.png,191.35619242579324,0.00255885363357216,0.804503582395087,0.1253838280450358,0.01842374616171955,0.1519959058341863,0.009723643807574206,0.019959058341862845,0.02098259979529171,0.3781985670419652,0.011258955987717503,0.0010235414534288639,4.981576253838281,3.2036847492323437,0.3955987717502559,2.1914022517911977,1.9237461617195497,5.912487205731832,3.0767656090071647,2.617195496417605,1.0040941658137155,0.8469805527123848,4.842374616171955,7.547082906857728,1.8700102354145343,1.146878198567042,1954
Booyah Bomb,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/0/00/S3_Weapon_Special_Booyah_Bomb.png/120px-S3_Weapon_Special_Booyah_Bomb.png,196.62820512820514,0.03012820512820513,0.7519230769230769,0.03461538461538462,0.01282051282051282,0.19615384615384615,0.019230769230769232,0.014102564102564103,0.05128205128205128,0.4442307692307692,0.014743589743589743,0.015384615384615385,4.834615384615384,2.8,0.7878205128205128,3.4076923076923076,1.823076923076923,5.406410256410257,4.819871794871795,2.3602564102564103,1.0083333333333333,0.375,3.566666666666667,6.312179487179487,2.0435897435897434,1.6083333333333334,1560
Crab Tank,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/8/88/S3_Weapon_Special_Crab_Tank.png/120px-S3_Weapon_Special_Crab_Tank.png,196.91365584813227,0.00612369871402327,0.8138395590936925,0.05939987752602572,0.012859767299448868,0.14880587875076545,0.009185548071034905,0.011635027556644213,0.08450704225352113,0.40967544396815675,0.006736068585425597,0.006736068585425597,4.213717085119412,3.130434782608696,0.7685241886099204,3.0251071647274954,1.8573178199632578,3.151867728107777,5.962645437844458,0.906307409675444,1.1096142069810164,1.0202082057562767,3.6638089406001226,7.994488671157379,2.0012247397428045,2.499693815064299,1633
Ink Storm,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/6/69/S3_Weapon_Special_Ink_Storm.png/120px-S3_Weapon_Special_Ink_Storm.png,191.14199395770393,0.02054380664652568,0.4882175226586103,0.09365558912386707,0.00906344410876133,0.37643504531722055,0.015105740181268883,0.019939577039274924,0.14561933534743202,0.10996978851963746,0.02054380664652568,0.08580060422960725,4.564350453172206,3.07190332326284,0.8719033232628399,7.072507552870091,1.5794561933534743,1.7003021148036255,5.045921450151058,0.9963746223564954,2.0628398791540787,1.5818731117824774,3.5438066465256797,8.380060422960725,1.6761329305135952,1.0036253776435045,1655
Ink Vac,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/cf/S3_Weapon_Special_Ink_Vac.png/120px-S3_Weapon_Special_Ink_Vac.png,188.69682283252558,0.012924071082390954,0.3683360258481422,0.03500269251480883,0.01992460958535272,0.23909531502423265,0.06354334948842219,0.014539579967689823,0.24824986537425955,0.13462574044157244,0.01830910070005385,0.024771136241249325,4.4415724286483576,3.0710823909531504,1.8449111470113086,5.719439956919763,1.654281098546042,2.266020463112547,5.3721055465805065,1.0247711362412493,1.7210554658050619,0.8906838987614432,3.9353796445880453,7.363489499192245,1.7808292945611202,4.121163166397415,1857
Inkjet,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/8/80/S3_Weapon_Special_Inkjet.png/120px-S3_Weapon_Special_Inkjet.png,199.95544239338003,0.0076384468491406746,0.46085295989815406,0.0674729471674093,0.011457670273711012,0.09866327180140039,0.0038192234245703373,0.010821133036282623,0.02991725015913431,0.2991725015913431,0.28389560789306173,0.01782304264799491,6.886059834500318,2.7765754296626355,6.705919796308084,2.077021005728835,1.276257161043921,3.480585614258434,4.2017823042648,1.7969446212603437,0.694462126034373,0.3494589433481859,3.1591343093570976,6.62444302991725,1.9236155315085932,2.132399745385105,1571
Killer Wail 5.1,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/1/1a/S3_Weapon_Special_Killer_Wail_5.1.png/120px-S3_Weapon_Special_Killer_Wail_5.1.png,187.44765702891326,0.011964107676969093,0.6555333998005982,0.1036889332003988,0.014955134596211365,0.1794616151545364,0.009471585244267198,0.0967098703888335,0.08524426719840479,0.25822532402791626,0.01694915254237288,0.04935194416749751,4.4102691924227315,2.7831505483549352,1.2048853439680958,3.6146560319042873,1.6979062811565304,3.198903290129611,4.148554336989033,1.2836490528414757,1.1086739780658026,1.967098703888335,3.729312063808574,8.36839481555334,1.6261216350947159,3.0428713858424725,2006
Kraken Royale,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/c1/S3_Weapon_Special_Kraken_Royale.png/120px-S3_Weapon_Special_Kraken_Royale.png,201.94710185706248,0.016319639842431063,0.5132245357343838,0.10917276308384918,0.008441193021947102,0.12267867191896455,0.10185706246482837,0.021947101857062466,0.14687675858187957,0.24366910523353968,0.014068655036578503,0.031513787281935844,3.48564997186269,2.9634214969048958,4.945413618458075,3.8024760832864377,1.5295441755768149,3.0973550928531233,2.799662352279122,0.5886325267304445,1.036578503095104,2.8891389983117612,4.288688801350591,7.457512661789533,1.5064715813168261,3.3117613956105796,1777
Reefslider,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/1/10/S3_Weapon_Special_Reefslider.png/120px-S3_Weapon_Special_Reefslider.png,188.7292817679558,0.014732965009208104,0.7544505831798649,0.047268262737875995,0.049723756906077346,0.19091467157765502,0.00798035604665439,0.01780233271945979,0.030079803560466543,0.3953345610804174,0.01841620626151013,0.007366482504604052,2.0374462860650704,2.1804788213627995,5.867403314917127,1.525475751995089,1.438305709023941,10.94597912829957,2.4591774094536527,1.949048496009822,0.7888275015346838,0.8367096378146102,4.071209330877839,5.009208103130755,1.8066298342541436,0.7434008594229589,1629
Splattercolor Screen,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/5/5c/S3_Weapon_Special_Splattercolor_Screen.png/120px-S3_Weapon_Special_Splattercolor_Screen.png,190.28520499108734,0.013368983957219251,0.7014260249554367,0.09803921568627451,0.008912655971479501,0.17557932263814616,0.01871657754010695,0.08021390374331551,0.0570409982174688,0.3360071301247772,0.0071301247771836,0.06506238859180036,7.179144385026738,3.4224598930481283,0.6221033868092691,1.9955436720142603,1.6443850267379678,2.5383244206773616,2.090017825311943,2.5962566844919786,1.0552584670231728,0.7575757575757576,3.5677361853832443,9.372549019607844,1.7201426024955437,2.823529411764706,1122
