Sub_Weapon,Sub_Img,Special_Points,Tenacity,Stealth Jump,Ninja Squid,Haunt,Last-Ditch Effort,Respawn Punisher,Opening Gambit,Object Shredder,Comeback,Drop Roller,Thermal Ink,Run Speed Up,Ink Resistance Up,Special Power Up,Ink Saver (Main),Sub Resistance Up,Quick Respawn,Special Charge Up,Ink Saver (Sub),Ink Recovery Up,Sub Power Up,Quick Super Jump,Swim Speed Up,Special Saver,Intensify Action,Build_Count
Angle Shooter,https://cdn.wikimg.net/en/splatoonwiki/images/3/3a/S3_Weapon_Sub_Angle_Shooter_Flat.png,187.49124854142357,0.01575262543757293,0.6161026837806302,0.042007001166861145,0.010501750291715286,0.20303383897316218,0.011085180863477246,0.03208868144690782,0.12893815635939324,0.30280046674445743,0.03733955659276546,0.050758459743290546,2.186114352392065,2.781213535589265,2.5484247374562425,5.469661610268378,1.6149358226371062,3.8471411901983665,4.8955659276546095,1.278879813302217,1.4883313885647609,0.3570595099183197,3.571761960326721,7.274212368728121,1.8850641773628938,3.2975495915986,1714
Autobomb,https://cdn.wikimg.net/en/splatoonwiki/images/6/6d/S3_Weapon_Sub_Autobomb_Flat.png,187.42890995260663,0.01066350710900474,0.655608214849921,0.1018957345971564,0.024091627172195894,0.17298578199052134,0.013033175355450236,0.020537124802527645,0.06635071090047394,0.33846761453396523,0.044233807266982623,0.027251184834123223,6.839257503949447,2.825829383886256,2.175750394944708,2.815560821484992,1.5841232227488151,5.687598736176935,2.703001579778831,1.3799368088467614,0.9391785150078988,0.30529225908372826,3.9000789889415484,8.238941548183254,1.7729067930489733,1.0813586097946288,2532
Burst Bomb,https://cdn.wikimg.net/en/splatoonwiki/images/3/3a/S3_Weapon_Sub_Burst_Bomb_Flat.png,197.5531914893617,0.003723404255319149,0.8781914893617021,0.12393617021276596,0.007978723404255319,0.125,0.00425531914893617,0.023936170212765957,0.032446808510638296,0.43351063829787234,0.005319148936170213,0.006914893617021276,5.031914893617022,3.1079787234042553,0.9877659574468085,1.622340425531915,1.797872340425532,4.467021276595744,2.4803191489361702,2.572340425531915,1.022872340425532,2.7324468085106384,3.824468085106383,7.352659574468085,1.3638297872340426,2.1840425531914893,1880
Curling Bomb,https://cdn.wikimg.net/en/splatoonwiki/images/1/11/S3_Weapon_Sub_Curling_Bomb_Flat.png,190.67206863679695,0.010009532888465206,0.8055290753098189,0.23689227836034318,0.012392755004766444,0.0996186844613918,0.006196377502383222,0.04575786463298379,0.023355576739752144,0.31315538608198284,0.022402287893231648,0.005243088655862726,4.060057197330791,2.930886558627264,1.9118207816968542,1.8222116301239275,1.8298379408960914,4.372735938989514,4.266920877025739,0.8598665395614872,0.7402287893231649,0.27359389895138225,4.793612964728313,9.285510009532889,1.857483317445186,2.1897044804575785,2098
Fizzy Bomb,https://cdn.wikimg.net/en/splatoonwiki/images/c/c4/S3_Weapon_Sub_Fizzy_Bomb_Flat.png,199.05187835420392,0.010137149672033392,0.6660703637447823,0.09481216457960644,0.01490757304710793,0.3852116875372689,0.009540846750149075,0.0172927847346452,0.03637447823494335,0.25104353011329755,0.11687537268932618,0.00655933214072749,5.905187835420394,3.0059630292188433,3.122242098986285,1.5897435897435896,1.48896839594514,4.16159809183065,4.116279069767442,3.6422182468694095,0.8205128205128205,0.7352415026833632,3.5235539654144303,5.709004174120453,1.8521168753726893,1.2391174716756113,1677
Ink Mine,https://cdn.wikimg.net/en/splatoonwiki/images/9/90/S3_Weapon_Sub_Ink_Mine_Flat.png,198.2287529785544,0.020651310563939634,0.41382049245432884,0.06354249404289118,0.015488482922954726,0.21445591739475775,0.15766481334392374,0.016679904686258934,0.17037331215250198,0.2084988085782367,0.08061953931691819,0.029785544082605243,6.107625099285147,2.921366163621922,2.341143764892772,4.2736298649722,1.438046068308181,3.8478951548848292,4.583002382843526,0.7402700555996823,1.3474980142970612,0.9455917394757745,4.085782366957903,6.488482922954726,1.5178713264495631,2.4459888800635423,2518
Point Sensor,https://cdn.wikimg.net/en/splatoonwiki/images/d/dd/S3_Weapon_Sub_Point_Sensor_Flat.png,191.37568058076226,0.007622504537205082,0.682032667876588,0.045372050816696916,0.021052631578947368,0.18548094373865698,0.010889292196007259,0.0823956442831216,0.06751361161524501,0.2631578947368421,0.015970961887477313,0.023593466424682397,6.035208711433757,3.2166969147005444,1.523774954627949,4.703811252268602,1.6413793103448275,3.7499092558983667,4.001088929219601,0.7473684210526316,1.284573502722323,1.5909255898366605,3.6232304900181487,7.57967332123412,1.8500907441016334,1.4014519056261343,2755
Splash Wall,https://cdn.wikimg.net/en/splatoonwiki/images/e/e8/S3_Weapon_Sub_Splash_Wall_Flat.png,202.24345364472754,0.010261854210898797,0.678343949044586,0.05555555555555555,0.020877565463552725,0.24663835810332627,0.03503184713375796,0.04104741684359519,0.1213729653220099,0.2799009200283086,0.010261854210898797,0.012738853503184714,2.5010615711252653,2.962845010615711,2.185774946921444,5.0389242745930645,1.6125265392781316,3.7469922151450814,4.507784854918613,0.727176220806794,1.5955414012738853,0.2636234961075725,4.01380042462845,9.238145789101203,1.8927813163481952,1.5927105449398442,2826
Splat Bomb,https://cdn.wikimg.net/en/splatoonwiki/images/8/81/S3_Weapon_Sub_Splat_Bomb_Flat.png,190.84954604409856,0.005512321660181583,0.7153047989623865,0.07198443579766536,0.023670557717250323,0.2169260700389105,0.03988326848249027,0.028534370946822308,0.08722438391699092,0.42217898832684825,0.0314526588845655,0.008754863813229572,2.386835278858625,2.7872892347600517,1.047016861219196,3.1650453955901425,1.7976653696498055,6.808690012970168,3.316796368352789,2.4688715953307394,1.1335927367055771,0.6994163424124513,4.144293125810636,6.526264591439689,1.706225680933852,2.4977302204928664,3084
Sprinkler,https://cdn.wikimg.net/en/splatoonwiki/images/d/de/S3_Weapon_Sub_Sprinkler_Flat.png,194.43679092382496,0.023500810372771474,0.45948136142625606,0.02106969205834684,0.027552674230145867,0.26053484602917343,0.02147487844408428,0.012560777957860616,0.13209076175040518,0.18841166936790923,0.013776337115072933,0.06442463533225283,5.763371150729336,2.9177471636953,3.2795786061588332,4.948136142625608,1.5559157212317667,4.855753646677472,6.700162074554295,0.5,1.3059157212317667,0.223257698541329,3.633711507293355,5.2791734197730955,1.9323338735818476,1.856158833063209,2468
