Weapon_Name,Sub_Weapon,Special_Weapon,Class,Weapon_Img,Sub_Img,Special_Img,Class_Img,Special_Points,Tenacity,Stealth Jump,Ninja Squid,Haunt,Last-Ditch Effort,Respawn Punisher,Opening Gambit,Object Shredder,Comeback,Drop Roller,Thermal Ink,Run Speed Up,Ink Resistance Up,Special Power Up,Ink Saver (Main),Sub Resistance Up,Quick Respawn,Special Charge Up,Ink Saver (Sub),Ink Recovery Up,Sub Power Up,Quick Super Jump,Swim Speed Up,Special Saver,Intensify Action,Build_Count
.52 Gal,Splash Wall,Killer Wail 5.1,Shooter,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/e/ed/S3_Weapon_Main_.52_Gal.png/256px-S3_Weapon_Main_.52_Gal.png,https://cdn.wikimg.net/en/splatoonwiki/images/e/e8/S3_Weapon_Sub_Splash_Wall_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/1/1a/S3_Weapon_Special_Killer_Wail_5.1.png/120px-S3_Weapon_Special_Killer_Wail_5.1.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/c8/S3_Icon_Shooter.png/120px-S3_Icon_Shooter.png,200.0,0.0,0.9708333333333333,0.17083333333333334,0.016666666666666666,0.0125,0.0,0.2125,0.004166666666666667,0.4041666666666667,0.008333333333333333,0.004166666666666667,0.3125,3.0791666666666666,0.43333333333333335,0.325,2.2375,1.2916666666666667,0.7291666666666666,0.22083333333333333,0.25,0.0875,3.6375,16.029166666666665,1.4625,8.8625,240
.52 Gal Deco,Curling Bomb,Splattercolor Screen,Shooter,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/2/26/S3_Weapon_Main_.52_Gal_Deco.png/256px-S3_Weapon_Main_.52_Gal_Deco.png,https://cdn.wikimg.net/en/splatoonwiki/images/1/11/S3_Weapon_Sub_Curling_Bomb_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/5/5c/S3_Weapon_Special_Splattercolor_Screen.png/120px-S3_Weapon_Special_Splattercolor_Screen.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/c8/S3_Icon_Shooter.png/120px-S3_Icon_Shooter.png,190.0,0.0041841004184100415,0.9288702928870293,0.12133891213389121,0.008368200836820083,0.029288702928870293,0.0,0.20920502092050208,0.016736401673640166,0.4435146443514644,0.008368200836820083,0.0041841004184100415,0.41422594142259417,3.0418410041841004,0.4602510460251046,0.5146443514644351,1.8577405857740585,1.903765690376569,1.0543933054393306,0.26359832635983266,0.4560669456066946,0.06276150627615062,3.573221757322176,14.774058577405858,2.1297071129707112,8.753138075313808,239
.96 Gal,Sprinkler,Ink Vac,Shooter,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/5/55/S3_Weapon_Main_.96_Gal.png/256px-S3_Weapon_Main_.96_Gal.png,https://cdn.wikimg.net/en/splatoonwiki/images/d/de/S3_Weapon_Sub_Sprinkler_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/cf/S3_Weapon_Special_Ink_Vac.png/120px-S3_Weapon_Special_Ink_Vac.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/c8/S3_Icon_Shooter.png/120px-S3_Icon_Shooter.png,190.0,0.01276595744680851,0.5531914893617021,0.03404255319148936,0.01702127659574468,0.17446808510638298,0.00851063829787234,0.029787234042553193,0.1148936170212766,0.09361702127659574,0.01276595744680851,0.01702127659574468,0.8595744680851064,2.9872340425531916,3.6723404255319148,3.2425531914893617,1.6851063829787234,1.0723404255319149,6.5702127659574465,0.502127659574468,1.5106382978723405,0.33191489361702126,2.876595744680851,8.204255319148936,2.4851063829787234,10.319148936170214,235
.96 Gal Deco,Splash Wall,Kraken Royale,Shooter,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/8/8b/S3_Weapon_Main_.96_Gal_Deco.png/256px-S3_Weapon_Main_.96_Gal_Deco.png,https://cdn.wikimg.net/en/splatoonwiki/images/e/e8/S3_Weapon_Sub_Splash_Wall_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/c1/S3_Weapon_Special_Kraken_Royale.png/120px-S3_Weapon_Special_Kraken_Royale.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/c8/S3_Icon_Shooter.png/120px-S3_Icon_Shooter.png,210.0,0.012605042016806723,0.8823529411764706,0.012605042016806723,0.008403361344537815,0.06302521008403361,0.004201680672268907,0.04201680672268908,0.012605042016806723,0.10084033613445378,0.004201680672268907,0.01680672268907563,0.3067226890756303,2.861344537815126,7.995798319327731,1.4285714285714286,1.5420168067226891,0.9537815126050421,6.079831932773109,0.27310924369747897,0.6470588235294118,0.037815126050420166,2.9789915966386555,10.256302521008404,1.8823529411764706,8.159663865546218,238
Aerospray MG,Fizzy Bomb,Reefslider,Shooter,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/c5/S3_Weapon_Main_Aerospray_MG.png/256px-S3_Weapon_Main_Aerospray_MG.png,https://cdn.wikimg.net/en/splatoonwiki/images/c/c4/S3_Weapon_Sub_Fizzy_Bomb_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/1/10/S3_Weapon_Special_Reefslider.png/120px-S3_Weapon_Special_Reefslider.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/c8/S3_Icon_Shooter.png/120px-S3_Icon_Shooter.png,180.0,0.04484304932735426,0.34080717488789236,0.11210762331838565,0.04035874439461883,0.45739910313901344,0.013452914798206279,0.008968609865470852,0.11659192825112108,0.08071748878923767,0.03587443946188341,0.004484304932735426,0.8789237668161435,1.9103139013452914,7.4125560538116595,1.345291479820628,1.4887892376681615,3.0,7.838565022421525,6.3408071748878925,1.4887892376681615,1.852017937219731,2.7847533632286994,5.089686098654709,2.309417040358744,0.7040358744394619,223
Aerospray RG,Sprinkler,Booyah Bomb,Shooter,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/2/2b/S3_Weapon_Main_Aerospray_RG.png/256px-S3_Weapon_Main_Aerospray_RG.png,https://cdn.wikimg.net/en/splatoonwiki/images/d/de/S3_Weapon_Sub_Sprinkler_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/0/00/S3_Weapon_Special_Booyah_Bomb.png/120px-S3_Weapon_Special_Booyah_Bomb.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/c8/S3_Icon_Shooter.png/120px-S3_Icon_Shooter.png,190.0,0.14507772020725387,0.3160621761658031,0.06735751295336788,0.02072538860103627,0.06217616580310881,0.025906735751295335,0.015544041450777202,0.08808290155440414,0.07772020725388601,0.03626943005181347,0.015544041450777202,1.310880829015544,1.5025906735751295,3.761658031088083,2.093264248704663,1.0984455958549222,2.4404145077720205,21.383419689119172,1.4870466321243523,1.3989637305699483,0.41450777202072536,2.2487046632124352,4.528497409326425,4.186528497409326,0.44041450777202074,193
Annaki Splattershot Nova,Ink Mine,Inkjet,Shooter,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/c5/S3_Weapon_Main_Annaki_Splattershot_Nova.png/256px-S3_Weapon_Main_Annaki_Splattershot_Nova.png,https://cdn.wikimg.net/en/splatoonwiki/images/9/90/S3_Weapon_Sub_Ink_Mine_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/8/80/S3_Weapon_Special_Inkjet.png/120px-S3_Weapon_Special_Inkjet.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/c8/S3_Icon_Shooter.png/120px-S3_Icon_Shooter.png,210.0,0.017094017094017096,0.12393162393162394,0.004273504273504274,0.0,0.07264957264957266,0.004273504273504274,0.03418803418803419,0.05555555555555555,0.05555555555555555,0.6752136752136753,0.06837606837606838,4.957264957264957,2.3076923076923075,9.7991452991453,1.0555555555555556,1.358974358974359,0.7435897435897436,11.320512820512821,0.6752136752136753,1.1923076923076923,1.4914529914529915,2.799145299145299,3.8333333333333335,1.8803418803418803,2.4743589743589745,234
Ballpoint Splatling,Fizzy Bomb,Inkjet,Splatling,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/f/f9/S3_Weapon_Main_Ballpoint_Splatling.png/256px-S3_Weapon_Main_Ballpoint_Splatling.png,https://cdn.wikimg.net/en/splatoonwiki/images/c/c4/S3_Weapon_Sub_Fizzy_Bomb_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/8/80/S3_Weapon_Special_Inkjet.png/120px-S3_Weapon_Special_Inkjet.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/a/af/S3_Icon_Splatling.png/120px-S3_Icon_Splatling.png,210.0,0.016877637130801686,0.07172995780590717,0.008438818565400843,0.004219409282700422,0.05907172995780591,0.008438818565400843,0.008438818565400843,0.046413502109704644,0.008438818565400843,0.7341772151898734,0.008438818565400843,20.426160337552744,4.940928270042194,8.569620253164556,0.6835443037974683,0.9113924050632911,0.09282700421940929,3.189873417721519,0.459915611814346,0.3037974683544304,0.0759493670886076,2.282700421940928,1.0970464135021096,0.6075949367088608,3.611814345991561,237
Ballpoint Splatling Nouveau,Ink Mine,Ink Vac,Splatling,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/b/b1/S3_Weapon_Main_Ballpoint_Splatling_Nouveau.png/256px-S3_Weapon_Main_Ballpoint_Splatling_Nouveau.png,https://cdn.wikimg.net/en/splatoonwiki/images/9/90/S3_Weapon_Sub_Ink_Mine_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/cf/S3_Weapon_Special_Ink_Vac.png/120px-S3_Weapon_Special_Ink_Vac.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/a/af/S3_Icon_Splatling.png/120px-S3_Icon_Splatling.png,200.0,0.008849557522123894,0.18584070796460178,0.01327433628318584,0.0,0.05309734513274336,0.004424778761061947,0.008849557522123894,0.14601769911504425,0.004424778761061947,0.06637168141592921,0.022123893805309734,24.606194690265486,6.185840707964601,2.6194690265486726,0.6327433628318584,1.0530973451327434,0.2345132743362832,5.29646017699115,0.2831858407079646,0.6150442477876106,0.6194690265486725,2.7212389380530975,1.6991150442477876,0.9469026548672567,4.353982300884955,226
Bamboozler 14 Mk I,Autobomb,Killer Wail 5.1,Charger,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/6/6d/S3_Weapon_Main_Bamboozler_14_Mk_I.png/256px-S3_Weapon_Main_Bamboozler_14_Mk_I.png,https://cdn.wikimg.net/en/splatoonwiki/images/6/6d/S3_Weapon_Sub_Autobomb_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/1/1a/S3_Weapon_Special_Killer_Wail_5.1.png/120px-S3_Weapon_Special_Killer_Wail_5.1.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/a/a0/S3_Icon_Charger.png/120px-S3_Icon_Charger.png,190.0,0.008438818565400843,0.6329113924050633,0.08860759493670886,0.02531645569620253,0.43037974683544306,0.016877637130801686,0.03375527426160337,0.07172995780590717,0.1350210970464135,0.008438818565400843,0.02531645569620253,11.624472573839663,3.8354430379746836,0.8270042194092827,3.021097046413502,1.5780590717299579,0.7637130801687764,4.084388185654008,1.8270042194092826,1.0464135021097047,0.24472573839662448,3.9535864978902953,7.801687763713081,1.3839662447257384,0.24050632911392406,237
