Weapon_Name,Sub_Weapon,Special_Weapon,Class,Weapon_Img,Sub_Img,Special_Img,Class_Img,Special_Points,Opening Gambit,Last-Ditch Effort,Ninja Squid,Respawn Punisher,Haunt,Tenacity,Thermal Ink,Object Shredder,Drop Roller,Stealth Jump,Comeback,Special Saver,Quick Super Jump,Sub Power Up,Ink Recovery Up,Special Charge Up,Ink Saver (Main),Intensify Action,Swim Speed Up,Ink Saver (Sub),Special Power Up,Ink Resistance Up,Quick Respawn,Sub Resistance Up,Run Speed Up,Build_Count
.52 Gal,Splash Wall,Killer Wail 5.1,Shooter,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/e/ed/S3_Weapon_Main_.52_Gal.png/256px-S3_Weapon_Main_.52_Gal.png,https://cdn.wikimg.net/en/splatoonwiki/images/e/e8/S3_Weapon_Sub_Splash_Wall_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/1/1a/S3_Weapon_Special_Killer_Wail_5.1.png/120px-S3_Weapon_Special_Killer_Wail_5.1.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/c8/S3_Icon_Shooter.png/120px-S3_Icon_Shooter.png,200.0,0.2,0.0125,0.16666666666666666,0.0,0.016666666666666666,0.0,0.004166666666666667,0.0,0.008333333333333333,0.95,0.3875,1.5,3.55,0.12916666666666668,0.4041666666666667,0.7291666666666666,0.5458333333333333,8.745833333333334,16.125,0.5375,0.43333333333333335,3.066666666666667,1.2833333333333334,2.1875,0.30416666666666664,240
.52 Gal Deco,Curling Bomb,Splattercolor Screen,Shooter,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/2/26/S3_Weapon_Main_.52_Gal_Deco.png/256px-S3_Weapon_Main_.52_Gal_Deco.png,https://cdn.wikimg.net/en/splatoonwiki/images/1/11/S3_Weapon_Sub_Curling_Bomb_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/5/5c/S3_Weapon_Special_Splattercolor_Screen.png/120px-S3_Weapon_Special_Splattercolor_Screen.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/c8/S3_Icon_Shooter.png/120px-S3_Icon_Shooter.png,190.0,0.20920502092050208,0.02510460251046025,0.12133891213389121,0.0,0.0041841004184100415,0.0041841004184100415,0.0,0.016736401673640166,0.008368200836820083,0.9330543933054394,0.4393305439330544,2.1548117154811717,3.510460251046025,0.07531380753138076,0.41841004184100417,0.9163179916317992,0.5062761506276151,8.757322175732218,15.259414225941423,0.41841004184100417,0.3723849372384937,3.0251046025104604,1.6820083682008369,1.8200836820083681,0.4686192468619247,239
.96 Gal,Sprinkler,Ink Vac,Shooter,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/5/55/S3_Weapon_Main_.96_Gal.png/256px-S3_Weapon_Main_.96_Gal.png,https://cdn.wikimg.net/en/splatoonwiki/images/d/de/S3_Weapon_Sub_Sprinkler_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/cf/S3_Weapon_Special_Ink_Vac.png/120px-S3_Weapon_Special_Ink_Vac.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/c8/S3_Icon_Shooter.png/120px-S3_Icon_Shooter.png,190.0,0.029787234042553193,0.17872340425531916,0.03404255319148936,0.01276595744680851,0.01702127659574468,0.00851063829787234,0.01276595744680851,0.1276595744680851,0.01702127659574468,0.5319148936170213,0.0851063829787234,2.3872340425531915,2.902127659574468,0.3702127659574468,1.4595744680851064,6.527659574468085,3.4340425531914893,10.348936170212767,8.102127659574467,0.6553191489361702,3.574468085106383,2.974468085106383,1.0595744680851065,1.6425531914893616,1.0085106382978724,235
.96 Gal Deco,Splash Wall,Kraken Royale,Shooter,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/8/8b/S3_Weapon_Main_.96_Gal_Deco.png/256px-S3_Weapon_Main_.96_Gal_Deco.png,https://cdn.wikimg.net/en/splatoonwiki/images/e/e8/S3_Weapon_Sub_Splash_Wall_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/c1/S3_Weapon_Special_Kraken_Royale.png/120px-S3_Weapon_Special_Kraken_Royale.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/c8/S3_Icon_Shooter.png/120px-S3_Icon_Shooter.png,210.0,0.04184100418410042,0.058577405857740586,0.012552301255230125,0.0041841004184100415,0.008368200836820083,0.012552301255230125,0.012552301255230125,0.008368200836820083,0.0041841004184100415,0.8744769874476988,0.10460251046025104,2.0,3.0292887029288704,0.0502092050209205,0.6317991631799164,5.899581589958159,1.4769874476987448,8.163179916317992,10.280334728033473,0.29707112970711297,8.06694560669456,2.8870292887029287,1.0209205020920502,1.4686192468619246,0.3054393305439331,239
Aerospray MG,Fizzy Bomb,Reefslider,Shooter,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/c5/S3_Weapon_Main_Aerospray_MG.png/256px-S3_Weapon_Main_Aerospray_MG.png,https://cdn.wikimg.net/en/splatoonwiki/images/c/c4/S3_Weapon_Sub_Fizzy_Bomb_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/1/10/S3_Weapon_Special_Reefslider.png/120px-S3_Weapon_Special_Reefslider.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/c8/S3_Icon_Shooter.png/120px-S3_Icon_Shooter.png,180.0,0.00904977375565611,0.45248868778280543,0.11312217194570136,0.013574660633484163,0.04072398190045249,0.04072398190045249,0.004524886877828055,0.11764705882352941,0.03167420814479638,0.35294117647058826,0.08597285067873303,2.429864253393665,2.769230769230769,1.8235294117647058,1.5294117647058822,7.6923076923076925,1.3167420814479638,0.7194570135746606,5.144796380090498,6.280542986425339,7.095022624434389,1.9411764705882353,3.230769230769231,1.5294117647058822,0.8733031674208145,221
Aerospray RG,Sprinkler,Booyah Bomb,Shooter,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/2/2b/S3_Weapon_Main_Aerospray_RG.png/256px-S3_Weapon_Main_Aerospray_RG.png,https://cdn.wikimg.net/en/splatoonwiki/images/d/de/S3_Weapon_Sub_Sprinkler_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/0/00/S3_Weapon_Special_Booyah_Bomb.png/120px-S3_Weapon_Special_Booyah_Bomb.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/c8/S3_Icon_Shooter.png/120px-S3_Icon_Shooter.png,190.0,0.015306122448979591,0.0663265306122449,0.0663265306122449,0.025510204081632654,0.02040816326530612,0.1326530612244898,0.02040816326530612,0.09693877551020408,0.04081632653061224,0.3112244897959184,0.07653061224489796,4.209183673469388,2.316326530612245,0.4387755102040816,1.4591836734693877,20.53061224489796,2.0306122448979593,0.3979591836734694,4.795918367346939,1.3877551020408163,3.683673469387755,1.6020408163265305,2.5816326530612246,1.2040816326530612,1.6377551020408163,196
Annaki Splattershot Nova,Ink Mine,Inkjet,Shooter,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/c5/S3_Weapon_Main_Annaki_Splattershot_Nova.png/256px-S3_Weapon_Main_Annaki_Splattershot_Nova.png,https://cdn.wikimg.net/en/splatoonwiki/images/9/90/S3_Weapon_Sub_Ink_Mine_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/8/80/S3_Weapon_Special_Inkjet.png/120px-S3_Weapon_Special_Inkjet.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/c8/S3_Icon_Shooter.png/120px-S3_Icon_Shooter.png,210.0,0.03418803418803419,0.06837606837606838,0.004273504273504274,0.004273504273504274,0.0,0.021367521367521368,0.0641025641025641,0.05555555555555555,0.6666666666666666,0.13247863247863248,0.05128205128205128,1.9059829059829059,2.8119658119658117,1.4914529914529915,1.1923076923076923,11.363247863247864,0.9700854700854701,2.4444444444444446,3.9572649572649574,0.6752136752136753,9.790598290598291,2.3205128205128207,0.7307692307692307,1.3076923076923077,5.012820512820513,234
Ballpoint Splatling,Fizzy Bomb,Inkjet,Splatling,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/f/f9/S3_Weapon_Main_Ballpoint_Splatling.png/256px-S3_Weapon_Main_Ballpoint_Splatling.png,https://cdn.wikimg.net/en/splatoonwiki/images/c/c4/S3_Weapon_Sub_Fizzy_Bomb_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/8/80/S3_Weapon_Special_Inkjet.png/120px-S3_Weapon_Special_Inkjet.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/a/af/S3_Icon_Splatling.png/120px-S3_Icon_Splatling.png,210.0,0.008438818565400843,0.05063291139240506,0.008438818565400843,0.008438818565400843,0.004219409282700422,0.012658227848101266,0.008438818565400843,0.04219409282700422,0.729957805907173,0.06751054852320675,0.012658227848101266,0.5822784810126582,2.388185654008439,0.08860759493670886,0.4008438818565401,3.088607594936709,0.6666666666666666,3.7046413502109705,1.1518987341772151,0.4472573839662447,8.447257383966244,4.890295358649789,0.1940928270042194,0.8734177215189873,20.540084388185655,237
Ballpoint Splatling Nouveau,Ink Mine,Ink Vac,Splatling,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/b/b1/S3_Weapon_Main_Ballpoint_Splatling_Nouveau.png/256px-S3_Weapon_Main_Ballpoint_Splatling_Nouveau.png,https://cdn.wikimg.net/en/splatoonwiki/images/9/90/S3_Weapon_Sub_Ink_Mine_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/cf/S3_Weapon_Special_Ink_Vac.png/120px-S3_Weapon_Special_Ink_Vac.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/a/af/S3_Icon_Splatling.png/120px-S3_Icon_Splatling.png,200.0,0.008888888888888889,0.04888888888888889,0.013333333333333334,0.0044444444444444444,0.0,0.013333333333333334,0.017777777777777778,0.13777777777777778,0.06666666666666667,0.17777777777777778,0.0044444444444444444,0.9511111111111111,2.7466666666666666,0.6355555555555555,0.6044444444444445,5.213333333333333,0.6622222222222223,4.293333333333333,1.7644444444444445,0.27111111111111114,2.6933333333333334,6.235555555555556,0.27555555555555555,1.0177777777777777,24.702222222222222,225
Bamboozler 14 Mk I,Autobomb,Killer Wail 5.1,Charger,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/6/6d/S3_Weapon_Main_Bamboozler_14_Mk_I.png/256px-S3_Weapon_Main_Bamboozler_14_Mk_I.png,https://cdn.wikimg.net/en/splatoonwiki/images/6/6d/S3_Weapon_Sub_Autobomb_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/1/1a/S3_Weapon_Special_Killer_Wail_5.1.png/120px-S3_Weapon_Special_Killer_Wail_5.1.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/a/a0/S3_Icon_Charger.png/120px-S3_Icon_Charger.png,190.0,0.029661016949152543,0.461864406779661,0.08050847457627118,0.01694915254237288,0.025423728813559324,0.012711864406779662,0.025423728813559324,0.08050847457627118,0.00847457627118644,0.6016949152542372,0.1228813559322034,1.4406779661016949,3.7796610169491527,0.2457627118644068,1.0847457627118644,4.279661016949152,2.9152542372881354,0.24152542372881355,7.673728813559322,1.8389830508474576,0.8686440677966102,3.7245762711864407,0.6864406779661016,1.3983050847457628,12.161016949152541,236
