Class,Class_Img,Special_Points,Last-Ditch Effort,Haunt,Stealth Jump,Thermal Ink,Opening Gambit,Object Shredder,Respawn Punisher,Drop Roller,Comeback,Tenacity,Ninja Squid,Sub Power Up,Quick Respawn,Ink Resistance Up,Swim Speed Up,Quick Super Jump,Ink Recovery Up,Sub Resistance Up,Special Power Up,Special Charge Up,Ink Saver (Sub),Ink Saver (Main),Special Saver,Run Speed Up,Intensify Action,Build_Count
Blaster,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/5/5b/S3_Icon_Blaster.png/120px-S3_Icon_Blaster.png,188.66540761724897,0.10387157695939565,0.023607176581680833,0.7900535096002518,0.003777148253068933,0.056657223796033995,0.0084985835694051,0.009757632987094743,0.02644003777148253,0.449480642115203,0.0066100094428706326,0.056971986150456407,0.4699401951526597,9.501416430594901,2.796978281397545,6.658797607806107,3.8105130626377086,0.893610324205225,1.6323575700346238,1.107963487566887,1.6978281397544854,2.2577903682719547,2.6056027699087188,1.7938306578533207,0.5225055083412024,5.893610324205225,3177
Brella,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/0/0d/S3_Icon_Brella.png/120px-S3_Icon_Brella.png,190.33747779751332,0.14505624629958555,0.010657193605683837,0.4991119005328597,0.013025458851391355,0.011841326228537596,0.03433984606275903,0.0053285968028419185,0.015393724097098875,0.43043220840734164,0.0053285968028419185,0.04322084073416223,1.1941977501480165,5.661338069863825,2.1734754292480756,7.378330373001776,3.927175843694494,1.1213735938425105,1.295441089402013,2.063943161634103,3.3374777975133214,2.0076968620485496,5.0562462995855535,2.4156305506216698,7.09295441089402,0.1373593842510361,1689
Brush,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/7/77/S3_Icon_Brush.png/120px-S3_Icon_Brush.png,185.010511562719,0.1212333566923616,0.015416958654519973,0.7491240364400841,0.004204625087596356,0.019621583742116328,0.011913104414856343,0.004905395935529082,0.09670637701471618,0.36790469516468116,0.004204625087596356,0.4141555711282411,1.8037841625788367,8.19551506657323,2.242466713384723,9.028731604765241,4.255781359495445,1.1324456902592852,1.4730203223545901,1.5578135949544498,2.41906096706377,1.1520672740014015,3.040644709180098,1.99229152067274,0.4260686755430974,0.18640504555010512,1427
Charger,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/a/a0/S3_Icon_Charger.png/120px-S3_Icon_Charger.png,203.22519083969465,0.44874591057797164,0.03162486368593239,0.3238822246455834,0.0057251908396946565,0.013086150490730643,0.2723555070883315,0.1990185387131952,0.021810250817884406,0.09569247546346783,0.014176663031624863,0.012540894220283533,1.2440021810250819,1.2006543075245366,2.7704471101417667,8.72546346782988,4.916848418756816,1.940021810250818,1.547709923664122,2.5586150490730644,5.133042529989095,1.4866412213740459,6.246728462377317,1.3601417666303162,3.1889312977099236,0.2941657579062159,3668
Dualie,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/b/b5/S3_Icon_Dualie.png/120px-S3_Icon_Dualie.png,191.72280701754386,0.09052631578947369,0.02736842105263158,0.88,0.01649122807017544,0.028771929824561403,0.017894736842105262,0.004912280701754386,0.014035087719298246,0.5859649122807018,0.009122807017543859,0.02912280701754386,1.7747368421052632,12.147368421052631,2.413684210526316,4.894035087719298,4.0417543859649125,0.7501754385964913,1.1652631578947368,1.4536842105263157,2.10140350877193,0.6010526315789474,2.7687719298245614,2.2003508771929825,1.6417543859649122,2.003859649122807,2850
Roller,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/f/fb/S3_Icon_Roller.png/120px-S3_Icon_Roller.png,186.20549797205948,0.19693555655700767,0.009013068949977467,0.67598017124831,0.014420910319963948,0.01757548445245606,0.0626408292023434,0.00811176205497972,0.03740423614240649,0.21631365479945922,0.00811176205497972,0.4159531320414601,1.2041460117169895,3.2365930599369084,2.598017124831005,9.739071653898153,4.673276250563317,1.284812978819288,1.818386660657954,1.729607931500676,4.429022082018927,1.861198738170347,4.959441189725101,1.9211356466876972,0.6931050022532672,0.22757999098693105,2219
Shooter,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/c8/S3_Icon_Shooter.png/120px-S3_Icon_Shooter.png,192.3503740648379,0.24064837905236908,0.012468827930174564,0.6700436408977556,0.02213216957605985,0.05517456359102244,0.07341022443890274,0.007948877805486284,0.040523690773067333,0.2361284289276808,0.015430174563591022,0.0720074812967581,1.6742518703241895,1.696851620947631,2.7969139650872816,8.565928927680797,3.1948254364089776,1.5176122194513715,1.6854738154613467,2.254831670822943,6.602244389027431,2.392768079800499,1.7936408977556109,1.940149625935162,2.7830423940149625,3.642300498753117,6416
Slosher,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/2/2f/S3_Icon_Slosher.png/120px-S3_Icon_Slosher.png,196.80378594830725,0.30942846741900254,0.013105205678922462,0.746268656716418,0.05569712413542046,0.01346923917000364,0.04004368401892974,0.00691663633054241,0.031306880232981435,0.4008008736803786,0.010921004732435385,0.04477611940298507,0.8987986894794321,5.608299963596651,2.687295231161267,6.844921732799418,3.8798689479432107,1.190753549326538,1.6396068438296323,2.9752457226064797,3.239170003640335,1.3254459410265744,5.717145977429923,2.1183108846013834,2.0258463778667637,0.12195121951219512,2747
Splatana,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/7/7c/S3_Icon_Splatana.png/120px-S3_Icon_Splatana.png,201.6910229645094,0.05706332637439109,0.023660403618649965,0.9157967988865693,0.003479471120389701,0.013917884481558803,0.010438413361169102,0.0013917884481558804,0.017397355601948505,0.7877522616562282,0.003479471120389701,0.04801670146137787,1.895615866388309,9.656228253305498,2.5379262352122476,6.625608907446068,4.114126652748782,0.7125956854558108,1.5594989561586639,1.812108559498956,2.755045233124565,0.8469032707028532,3.2463465553235906,2.2045929018789145,0.13291579679888657,0.07654836464857341,1437
Splatling,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/a/af/S3_Icon_Splatling.png/120px-S3_Icon_Splatling.png,200.15031942878616,0.08079669297256671,0.007140172867343104,0.4829011649755731,0.02705749718151071,0.01728673431040962,0.10747839158211199,0.024051108605787297,0.07891770011273957,0.04735062006764374,0.018038331454340473,0.005261180007515971,0.3156708004509583,0.2705749718151071,5.254039834648628,4.391206313416009,3.11424276587749,0.5674558436677941,1.5046974821495678,2.6200676437429538,3.4663660278090944,0.4336715520481022,1.170988350244269,1.1213829387448329,21.379932356257047,2.4269071777527245,2661
Stringer,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/6/60/S3_Icon_Stringer.png/120px-S3_Icon_Stringer.png,198.24191279887484,0.4092827004219409,0.014064697609001406,0.4451476793248945,0.11673699015471167,0.013361462728551337,0.2580872011251758,0.01828410689170183,0.010548523206751054,0.13431786216596342,0.01969057665260197,0.015471167369901548,1.279887482419128,2.00070323488045,2.7475386779184245,7.189873417721519,3.759493670886076,1.0696202531645569,1.6919831223628692,2.6962025316455698,4.9985935302391,0.8952180028129395,3.768635724331927,1.568213783403657,8.543600562587905,0.24050632911392406,1422
