Weapon_Name,Sub_Weapon,Special_Weapon,Class,Weapon_Img,Sub_Img,Special_Img,Class_Img,Special_Points,Last-Ditch Effort,Haunt,Stealth Jump,Thermal Ink,Opening Gambit,Object Shredder,Respawn Punisher,Drop Roller,Comeback,Tenacity,Ninja Squid,Sub Power Up,Quick Respawn,Ink Resistance Up,Swim Speed Up,Quick Super Jump,Ink Recovery Up,Sub Resistance Up,Special Power Up,Special Charge Up,Ink Saver (Sub),Ink Saver (Main),Special Saver,Run Speed Up,Intensify Action,Build_Count
.52 Gal,Splash Wall,Killer Wail 5.1,Shooter,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/e/ed/S3_Weapon_Main_.52_Gal.png/256px-S3_Weapon_Main_.52_Gal.png,https://cdn.wikimg.net/en/splatoonwiki/images/e/e8/S3_Weapon_Sub_Splash_Wall_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/1/1a/S3_Weapon_Special_Killer_Wail_5.1.png/120px-S3_Weapon_Special_Killer_Wail_5.1.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/c8/S3_Icon_Shooter.png/120px-S3_Icon_Shooter.png,200.0,0.0125,0.016666666666666666,0.95,0.004166666666666667,0.2,0.0,0.0,0.008333333333333333,0.39166666666666666,0.0,0.17083333333333334,0.12916666666666668,1.35,3.066666666666667,16.0125,3.5375,0.39166666666666666,2.1875,0.43333333333333335,0.7291666666666666,0.5375,0.5458333333333333,1.4875,0.30416666666666664,8.745833333333334,240
.52 Gal Deco,Curling Bomb,Splattercolor Screen,Shooter,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/2/26/S3_Weapon_Main_.52_Gal_Deco.png/256px-S3_Weapon_Main_.52_Gal_Deco.png,https://cdn.wikimg.net/en/splatoonwiki/images/1/11/S3_Weapon_Sub_Curling_Bomb_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/5/5c/S3_Weapon_Special_Splattercolor_Screen.png/120px-S3_Weapon_Special_Splattercolor_Screen.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/c8/S3_Icon_Shooter.png/120px-S3_Icon_Shooter.png,190.0,0.02510460251046025,0.0041841004184100415,0.9330543933054394,0.0,0.20920502092050208,0.016736401673640166,0.0,0.008368200836820083,0.4393305439330544,0.0041841004184100415,0.12133891213389121,0.07531380753138076,1.6820083682008369,3.0251046025104604,15.259414225941423,3.510460251046025,0.41841004184100417,1.8200836820083681,0.3723849372384937,0.9163179916317992,0.41841004184100417,0.5062761506276151,2.1548117154811717,0.4686192468619247,8.757322175732218,239
.96 Gal,Sprinkler,Ink Vac,Shooter,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/5/55/S3_Weapon_Main_.96_Gal.png/256px-S3_Weapon_Main_.96_Gal.png,https://cdn.wikimg.net/en/splatoonwiki/images/d/de/S3_Weapon_Sub_Sprinkler_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/cf/S3_Weapon_Special_Ink_Vac.png/120px-S3_Weapon_Special_Ink_Vac.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/c8/S3_Icon_Shooter.png/120px-S3_Icon_Shooter.png,190.0,0.17872340425531916,0.01702127659574468,0.5319148936170213,0.01276595744680851,0.029787234042553193,0.1276595744680851,0.01276595744680851,0.01702127659574468,0.0851063829787234,0.00851063829787234,0.03404255319148936,0.3702127659574468,1.0595744680851065,2.974468085106383,8.102127659574467,2.902127659574468,1.4595744680851064,1.6425531914893616,3.574468085106383,6.527659574468085,0.6553191489361702,3.4340425531914893,2.3872340425531915,1.0085106382978724,10.348936170212767,235
.96 Gal Deco,Splash Wall,Kraken Royale,Shooter,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/8/8b/S3_Weapon_Main_.96_Gal_Deco.png/256px-S3_Weapon_Main_.96_Gal_Deco.png,https://cdn.wikimg.net/en/splatoonwiki/images/e/e8/S3_Weapon_Sub_Splash_Wall_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/c1/S3_Weapon_Special_Kraken_Royale.png/120px-S3_Weapon_Special_Kraken_Royale.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/c8/S3_Icon_Shooter.png/120px-S3_Icon_Shooter.png,210.0,0.058577405857740586,0.008368200836820083,0.8744769874476988,0.012552301255230125,0.04184100418410042,0.008368200836820083,0.0041841004184100415,0.0041841004184100415,0.10460251046025104,0.012552301255230125,0.012552301255230125,0.0502092050209205,1.0209205020920502,2.8870292887029287,10.255230125523013,3.0292887029288704,0.6317991631799164,1.4811715481171548,8.083682008368202,5.899581589958159,0.29707112970711297,1.4895397489539748,2.0,0.3054393305439331,8.146443514644352,239
Aerospray MG,Fizzy Bomb,Reefslider,Shooter,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/c5/S3_Weapon_Main_Aerospray_MG.png/256px-S3_Weapon_Main_Aerospray_MG.png,https://cdn.wikimg.net/en/splatoonwiki/images/c/c4/S3_Weapon_Sub_Fizzy_Bomb_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/1/10/S3_Weapon_Special_Reefslider.png/120px-S3_Weapon_Special_Reefslider.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/c8/S3_Icon_Shooter.png/120px-S3_Icon_Shooter.png,180.0,0.45248868778280543,0.04072398190045249,0.35294117647058826,0.004524886877828055,0.00904977375565611,0.11764705882352941,0.013574660633484163,0.03167420814479638,0.08597285067873303,0.04072398190045249,0.11312217194570136,1.8235294117647058,3.230769230769231,1.9411764705882353,5.144796380090498,2.769230769230769,1.5294117647058822,1.5294117647058822,7.095022624434389,7.6923076923076925,6.280542986425339,1.3167420814479638,2.429864253393665,0.8733031674208145,0.7194570135746606,221
Aerospray RG,Sprinkler,Booyah Bomb,Shooter,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/2/2b/S3_Weapon_Main_Aerospray_RG.png/256px-S3_Weapon_Main_Aerospray_RG.png,https://cdn.wikimg.net/en/splatoonwiki/images/d/de/S3_Weapon_Sub_Sprinkler_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/0/00/S3_Weapon_Special_Booyah_Bomb.png/120px-S3_Weapon_Special_Booyah_Bomb.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/c8/S3_Icon_Shooter.png/120px-S3_Icon_Shooter.png,190.0,0.0663265306122449,0.02040816326530612,0.3112244897959184,0.02040816326530612,0.015306122448979591,0.09693877551020408,0.025510204081632654,0.04081632653061224,0.07653061224489796,0.1326530612244898,0.0663265306122449,0.4387755102040816,2.5816326530612246,1.6020408163265305,4.795918367346939,2.316326530612245,1.4591836734693877,1.2040816326530612,3.683673469387755,20.53061224489796,1.3877551020408163,2.0306122448979593,4.209183673469388,1.6377551020408163,0.3979591836734694,196
Annaki Splattershot Nova,Ink Mine,Inkjet,Shooter,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/c5/S3_Weapon_Main_Annaki_Splattershot_Nova.png/256px-S3_Weapon_Main_Annaki_Splattershot_Nova.png,https://cdn.wikimg.net/en/splatoonwiki/images/9/90/S3_Weapon_Sub_Ink_Mine_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/8/80/S3_Weapon_Special_Inkjet.png/120px-S3_Weapon_Special_Inkjet.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/c8/S3_Icon_Shooter.png/120px-S3_Icon_Shooter.png,210.0,0.06837606837606838,0.0,0.13247863247863248,0.0641025641025641,0.03418803418803419,0.05555555555555555,0.004273504273504274,0.6666666666666666,0.05128205128205128,0.021367521367521368,0.004273504273504274,1.4914529914529915,0.7307692307692307,2.3205128205128207,3.9572649572649574,2.8119658119658117,1.1923076923076923,1.3076923076923077,9.790598290598291,11.363247863247864,0.6752136752136753,0.9700854700854701,1.9059829059829059,5.012820512820513,2.4444444444444446,234
Ballpoint Splatling,Fizzy Bomb,Inkjet,Splatling,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/f/f9/S3_Weapon_Main_Ballpoint_Splatling.png/256px-S3_Weapon_Main_Ballpoint_Splatling.png,https://cdn.wikimg.net/en/splatoonwiki/images/c/c4/S3_Weapon_Sub_Fizzy_Bomb_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/8/80/S3_Weapon_Special_Inkjet.png/120px-S3_Weapon_Special_Inkjet.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/a/af/S3_Icon_Splatling.png/120px-S3_Icon_Splatling.png,210.0,0.05084745762711865,0.00423728813559322,0.0635593220338983,0.00847457627118644,0.00423728813559322,0.0423728813559322,0.012711864406779662,0.7288135593220338,0.012711864406779662,0.012711864406779662,0.00847457627118644,0.08898305084745763,0.19491525423728814,4.961864406779661,1.1440677966101696,2.3983050847457625,0.4279661016949153,0.8516949152542372,8.254237288135593,3.0084745762711864,0.423728813559322,0.6822033898305084,0.5847457627118644,20.71186440677966,3.7754237288135593,236
Ballpoint Splatling Nouveau,Ink Mine,Ink Vac,Splatling,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/b/b1/S3_Weapon_Main_Ballpoint_Splatling_Nouveau.png/256px-S3_Weapon_Main_Ballpoint_Splatling_Nouveau.png,https://cdn.wikimg.net/en/splatoonwiki/images/9/90/S3_Weapon_Sub_Ink_Mine_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/cf/S3_Weapon_Special_Ink_Vac.png/120px-S3_Weapon_Special_Ink_Vac.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/a/af/S3_Icon_Splatling.png/120px-S3_Icon_Splatling.png,200.0,0.04888888888888889,0.0,0.17777777777777778,0.017777777777777778,0.008888888888888889,0.13777777777777778,0.0044444444444444444,0.06666666666666667,0.0044444444444444444,0.013333333333333334,0.013333333333333334,0.6355555555555555,0.27555555555555555,6.204444444444444,1.7644444444444445,2.7466666666666666,0.6044444444444445,1.0177777777777777,2.7377777777777776,5.226666666666667,0.27111111111111114,0.6622222222222223,0.9511111111111111,24.675555555555555,4.293333333333333,225
Bamboozler 14 Mk I,Autobomb,Killer Wail 5.1,Charger,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/6/6d/S3_Weapon_Main_Bamboozler_14_Mk_I.png/256px-S3_Weapon_Main_Bamboozler_14_Mk_I.png,https://cdn.wikimg.net/en/splatoonwiki/images/6/6d/S3_Weapon_Sub_Autobomb_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/1/1a/S3_Weapon_Special_Killer_Wail_5.1.png/120px-S3_Weapon_Special_Killer_Wail_5.1.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/a/a0/S3_Icon_Charger.png/120px-S3_Icon_Charger.png,190.0,0.4661016949152542,0.025423728813559324,0.597457627118644,0.025423728813559324,0.029661016949152543,0.08050847457627118,0.01694915254237288,0.00847457627118644,0.11864406779661017,0.012711864406779662,0.08050847457627118,0.2457627118644068,0.6864406779661016,3.6991525423728815,7.661016949152542,3.7796610169491527,1.0847457627118644,1.3855932203389831,0.8940677966101694,4.2923728813559325,1.8389830508474576,2.902542372881356,1.4661016949152543,12.203389830508474,0.24152542372881355,236
